,size,algorithm,runtime,runtime,nodes_expanded,nodes_expanded,max_frontier_size,max_frontier_size
,,,mean,std,mean,std,mean,std
0,21,A*,0.00028009000583547434,0.00021681253191164964,46.84,31.45325857121126,14.26,5.002262114546404
1,21,BFS,0.000876018002163575,0.0004757066219420446,167.16,62.99041453453314,16.67,3.6791934777155504
2,21,DFS,0.00096648400416593,0.0006254115273262502,154.62,78.63106282127974,37.99,13.625210590532667
3,21,Dijkstra,0.001077027993742326,0.0005385265898439518,167.36,62.08376875991295,16.87,3.6890638269338627
4,41,A*,0.0016199409903492302,0.0019028350484313172,169.06,125.81635004797246,30.24,11.61253241506387
5,41,BFS,0.01139676199993114,0.006264090463837856,704.03,223.01064226995214,33.52,6.095999681857942
6,41,DFS,0.011025445003760927,0.009465768001304102,537.29,292.27070940441087,120.54,48.812239730161394
7,41,Dijkstra,0.011937765002949114,0.006523484705671381,703.04,222.76612367814334,33.54,6.160184963771689
8,61,A*,0.0029969080048612763,0.00318624304885048,285.33,192.85002573046864,47.05,17.149005330875138
9,61,BFS,0.04735349800321269,0.034874210946160125,1487.41,495.28194388589816,49.0,9.822670130104571
10,61,DFS,0.05905577000230546,0.0552852056192202,1231.01,667.5204305124414,258.78,101.35252808635286
11,61,Dijkstra,0.048713063993491186,0.03523303249686279,1488.87,493.8927756491117,48.91,9.824824258844108
12,81,A*,0.01462184800533573,0.025883738002676817,576.6,353.6160104241362,75.32,32.58582451919791
13,81,BFS,0.2345350430021062,0.17485650410774803,2798.65,815.4292836700597,64.29,10.69909370276782
14,81,DFS,0.26997392099932765,0.25385876944593877,2188.69,1093.8839032723647,445.65,176.1291637498808
15,81,Dijkstra,0.24205752000678327,0.18459392610088976,2801.04,815.411700190818,64.42,10.576493852984656
